ID_Transacao,Data,Categoria,Descricao,Metodo_Pagamento,Valor
S-0001,2025-03-29 00:00:00,Vestuário,Restaurante Sabor & Arte,Dinheiro,18367.84
N-0002,2025-02-24 00:00:00,Saúde,Mercado Bom Preço,Cartão de crédito,1969.24
N-0003,2025-02-17 00:00:00,Educação,Academia Fit+,Pix,676.18
N-0004,2025-03-27 00:00:00,Outros,Oficina do Carro,Cartão de crédito,2478.49
N-0005,2025-11-15 00:00:00,Vestuário,Mercado Bom Preço,Cartão de débito,1296.47
N-0006,2025-07-30 00:00:00,Vestuário,Loja Center,Cartão de débito,1624.3
N-0007,2025-09-20 00:00:00,Moradia,Hortifruti Verde Vida,Dinheiro,1329.07
N-0008,2025-05-15 00:00:00,Alimentação,StreamingFlix,Cartão de débito,1532.51
N-0009,2025-08-05 00:00:00,Educação,Oficina do Carro,Cartão de débito,2289.77
N-0010,2025-03-19 00:00:00,Alimentação,Posto Avenida,Dinheiro,3308.42
S-0011,2026-02-10 00:00:00,Saúde,Restaurante Sabor & Arte,Pix,23171.75
N-0012,2025-11-03 00:00:00,Educação,Hortifruti Verde Vida,Dinheiro,917.97
N-0013,2025-08-11 00:00:00,Assinaturas,Farmácia Popular,Pix,2477.68
N-0014,2025-11-05 00:00:00,Moradia,Posto Avenida,Pix,2151.06
N-0015,2026-02-15 00:00:00,Educação,StreamingFlix,Dinheiro,2007.49
N-0016,2025-06-13 00:00:00,Saúde,Restaurante Sabor & Arte,Boleto,1093.22
N-0017,2025-01-04 00:00:00,Vestuário,Padaria Pão Quente,Boleto,1609.94
S-0018,2025-05-09 00:00:00,Transporte,Livraria Cultura,Cartão de débito,44664.86
N-0019,2025-12-08 00:00:00,Assinaturas,Livraria Cultura,Pix,2997.61
S-0020,2026-01-24 00:00:00,Alimentação,Restaurante Sabor & Arte,Cartão de débito,18952.56
N-0021,2025-09-20 00:00:00,Lazer,Delivery Já,Cartão de crédito,3048.74
N-0022,2026-01-07 00:00:00,Assinaturas,Restaurante Sabor & Arte,Boleto,662.57
N-0023,2025-12-20 00:00:00,Transporte,EletroTech,Boleto,376.52
N-0024,2025-04-08 00:00:00,Educação,EletroTech,Dinheiro,448.24
N-0025,2025-05-17 00:00:00,Alimentação,Farmácia Popular,Cartão de débito,976.39
N-0026,2025-07-02 00:00:00,Educação,Padaria Pão Quente,Dinheiro,2179.4
N-0027,2026-02-06 00:00:00,Alimentação,Clínica Saúde Total,Cartão de crédito,173.78
N-0028,2025-12-06 00:00:00,Outros,StreamingFlix,Cartão de débito,678.61
N-0029,2025-01-16 00:00:00,Saúde,Oficina do Carro,Pix,726.98
N-0030,2025-09-21 00:00:00,Educação,Clínica Saúde Total,Cartão de débito,617.37
N-0031,2025-11-01 00:00:00,Lazer,Hortifruti Verde Vida,Boleto,683.57
N-0032,2025-10-05 00:00:00,Alimentação,Oficina do Carro,Cartão de crédito,1565.35
N-0033,2025-08-06 00:00:00,Lazer,EletroTech,Cartão de crédito,677.93
N-0034,2025-04-27 00:00:00,Serviços,Padaria Pão Quente,Boleto,811.86
N-0035,2026-03-14 00:00:00,Assinaturas,Oficina do Carro,Cartão de crédito,2660.19
N-0036,2025-05-22 00:00:00,Lazer,Padaria Pão Quente,Cartão de débito,3771.67
N-0037,2026-03-08 00:00:00,Serviços,Clínica Saúde Total,Cartão de débito,1937.35
S-0038,2025-03-05 00:00:00,Assinaturas,Padaria Pão Quente,Cartão de débito,29912.29
N-0039,2025-01-14 00:00:00,Assinaturas,Loja Center,Cartão de débito,2201.61
N-0040,2025-12-06 00:00:00,Alimentação,Clínica Saúde Total,Boleto,1942.66
N-0041,2025-09-29 00:00:00,Outros,Clínica Saúde Total,Boleto,1327.7
N-0042,2026-01-11 00:00:00,Lazer,Livraria Cultura,Dinheiro,1476.85
N-0043,2025-03-28 00:00:00,Transporte,Farmácia Popular,Cartão de débito,2964.82
N-0044,2025-08-05 00:00:00,Serviços,StreamingFlix,Pix,3580.79
N-0045,2025-10-27 00:00:00,Moradia,StreamingFlix,Cartão de débito,3530.0
N-0046,2026-03-10 00:00:00,Educação,Restaurante Sabor & Arte,Boleto,3749.54
N-0047,2025-10-28 00:00:00,Transporte,Mercado Bom Preço,Cartão de débito,3061.39
N-0048,2026-03-04 00:00:00,Saúde,Delivery Já,Pix,1809.69
N-0049,2025-05-02 00:00:00,Moradia,Hortifruti Verde Vida,Cartão de crédito,3103.34
N-0050,2025-06-21 00:00:00,Alimentação,StreamingFlix,Cartão de crédito,3043.05
N-0051,2025-05-20 00:00:00,Alimentação,Livraria Cultura,Boleto,580.04
N-0052,2026-02-22 00:00:00,Saúde,Clínica Saúde Total,Pix,1112.33
N-0053,2026-03-08 00:00:00,Assinaturas,StreamingFlix,Pix,1273.65
N-0054,2025-12-29 00:00:00,Transporte,StreamingFlix,Dinheiro,1850.13
N-0055,2025-12-10 00:00:00,Transporte,Farmácia Popular,Dinheiro,2072.91
N-0056,2026-03-31 00:00:00,Moradia,Clínica Saúde Total,Dinheiro,1050.87
N-0057,2026-02-03 00:00:00,Educação,Academia Fit+,Dinheiro,1603.59
N-0058,2025-08-24 00:00:00,Lazer,StreamingFlix,Pix,3932.55
N-0059,2026-02-01 00:00:00,Serviços,StreamingFlix,Cartão de crédito,3922.58
N-0060,2025-03-02 00:00:00,Alimentação,Mercado Bom Preço,Boleto,108.6
S-0061,2025-02-05 00:00:00,Assinaturas,Clínica Saúde Total,Dinheiro,19289.41
